DBN,Year,Total Grads - % of cohort,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - % of cohort,Local - % of grads,Still Enrolled - % of cohort,Dropped Out - % of cohort
03M485,2006,94.1,93.1,98.9,40.9,43.4,52.2,55.5,1.1,1.1,4.8,0.2
03M485,2007,97,94,96.9,81.7,84.2,12.3,12.7,3,3.1,2.8,0.2
03M485,2008,95.4,94.3,98.8,62.7,65.7,31.6,33.1,1.1,1.2,4.2,0.3
03M485,2009,96.3,95,98.6,63.2,65.6,31.8,33,1.4,1.4,3.2,0.5
03M485,2010,97.8,96.9,99.1,50.2,51.3,46.7,47.8,0.9,0.9,1.2,0.9
03M490,2005,70.5,0,0,0,0,0,0,70.5,100,0.4,24.2
03M492,2006,60.4,32.4,53.7,0,0,32.4,53.7,27.9,46.3,24.3,15.3
03M492,2007,49.6,26.5,53.6,1.8,3.6,24.8,50,23,46.4,33.6,14.2
03M492,2008,57.5,34.9,60.7,4.7,8.2,30.2,52.5,22.6,39.3,21.7,19.8
03M492,2009,72.4,52,71.8,3.1,4.2,49,67.6,20.4,28.2,19.4,7.1
03M492,2010,80.4,64.5,80.2,15,18.6,49.5,61.6,15.9,19.8,8.4,9.3
03M494,2006,65.5,43.6,66.7,0.6,0.9,43,65.7,21.8,33.3,27.3,5.5
03M494,2007,49,27.2,55.4,0.7,1.4,26.5,54.1,21.9,44.6,26.5,21.2
03M494,2008,59.4,40,67.4,6.5,10.9,33.5,56.5,19.4,32.6,20,20
03M494,2009,69.7,55.3,79.2,7.2,10.4,48,68.9,14.5,20.8,19.7,5.9
03M494,2010,65,50.4,77.5,2.9,4.5,47.4,73,14.6,22.5,20.4,6.6
03M505,2005,16.7,1.6,9.6,0,0,1.6,9.6,15.1,90.4,66,13.8
03M505,2006,12,1.1,9.4,0,0,1.1,9.4,10.9,90.6,74.1,11.3
03M505,2007,12.1,1.7,14.3,0,0,1.7,14.3,10.3,85.7,64.5,21
03M505,2008,24.4,3.6,14.6,0,0,3.6,14.6,20.8,85.4,57.4,16.8
03M505,2009,25.1,6.2,24.6,0,0,6.2,24.6,18.9,75.4,57.7,15.4
03M505,2010,27.5,16,58.2,0.5,1.8,15.5,56.4,11.5,41.8,66,6.5
03M541,2007,89.3,89.3,100,28.6,32,60.7,68,0,0,6,4.8
03M541,2008,93.2,88.9,95.4,35,37.6,53.8,57.8,4.3,4.6,6,0.9
03M541,2009,92.2,87.3,94.7,21.6,23.4,65.7,71.3,4.9,5.3,6.9,1
03M541,2010,93.3,93.3,100,52.2,56,41.1,44,0,0,5.6,1.1
03M860,2007,77.8,59.3,76.2,18.5,23.8,40.7,52.4,18.5,23.8,18.5,3.7
03M860,2008,71.6,58.2,81.3,17.9,25,40.3,56.3,13.4,18.8,20.9,7.5
03M860,2009,55.1,46.4,84.2,10.1,18.4,36.2,65.8,8.7,15.8,34.8,0
03M860,2010,74.1,57.4,77.5,16.7,22.5,40.7,55,16.7,22.5,5.6,13
04M409,2010,68.4,39.5,57.7,1.3,1.9,38.2,55.8,28.9,42.3,10.5,13.2
04M435,2005,66.4,62.6,94.2,42.3,63.6,20.3,30.5,3.9,5.8,22.5,7.5
04M435,2006,74.2,70.8,95.3,52.7,70.9,18.1,24.4,3.5,4.7,17.2,6.3
04M435,2007,79.4,74.5,93.8,55.9,70.4,18.6,23.5,4.9,6.2,11.8,7.2
04M435,2008,78,69.3,88.9,52.1,66.8,17.3,22.1,8.6,11.1,12.8,4.8
04M435,2009,86.4,79.2,91.7,55.5,64.3,23.7,27.4,7.2,8.3,8.9,2.2
04M435,2010,89.8,86.1,95.9,55.1,61.4,31,34.5,3.7,4.1,6.8,1.3
04M495,2005,67.2,19.7,29.3,0,0,19.7,29.3,47.5,70.7,23,8.2
04M495,2006,63.4,22.5,35.6,4.2,6.7,18.3,28.9,40.8,64.4,19.7,16.9
04M495,2007,72.3,34.9,48.3,0,0,34.9,48.3,37.3,51.7,20.5,7.2
04M495,2008,79.2,40.3,50.9,1.4,1.8,38.9,49.1,38.9,49.1,16.7,4.2
04M495,2009,51.9,29.8,57.4,5.8,11.1,24,46.3,22.1,42.6,33.7,10.6
04M495,2010,63,31.5,50,5.4,8.6,26.1,41.4,31.5,50,20.7,10.9
04M555,2005,36.5,5.4,14.8,0,0,5.4,14.8,31.1,85.2,41.9,20.3
04M555,2006,37.5,0,0,0,0,0,0,37.5,100,34.4,26.6
04M555,2007,50,27.8,55.6,0,0,27.8,55.6,22.2,44.4,29.6,20.4
04M555,2008,52.2,26.9,51.4,0,0,26.9,51.4,25.4,48.6,32.8,11.9
04M555,2009,58.3,31.9,54.8,0,0,31.9,54.8,26.4,45.2,25,6.9
04M555,2010,71.4,42.9,60,1.6,2.2,41.3,57.8,28.6,40,14.3,11.1
04M610,2005,96.8,69.8,72.1,15.9,16.4,54,55.7,27,27.9,3.2,0
04M610,2006,100,77.8,77.8,16.7,16.7,61.1,61.1,22.2,22.2,0,0
04M610,2007,98.4,71.9,73,18.8,19,53.1,54,26.6,27,1.6,0
04M610,2008,94.1,80.4,85.4,15.7,16.7,64.7,68.8,13.7,14.6,5.9,0
04M610,2009,98.3,84.7,86.2,11.9,12.1,72.9,74.1,13.6,13.8,1.7,0
04M610,2010,100,85.5,85.5,16.4,16.4,69.1,69.1,14.5,14.5,0,0
04M635,2005,52.7,5.5,10.3,0,0,5.5,10.3,47.3,89.7,34.5,12.7
04M635,2006,68.3,31.7,46.4,2.4,3.6,29.3,42.9,36.6,53.6,17.1,12.2
04M635,2007,55.9,29.4,52.6,5.9,10.5,23.5,42.1,26.5,47.4,36.8,7.4
04M635,2008,48.3,20.2,41.9,0,0,20.2,41.9,28.1,58.1,30.3,19.1
04M635,2009,49.4,20,40.5,1.2,2.4,18.8,38.1,29.4,59.5,35.3,11.8
04M635,2010,44,25.3,57.6,1.3,3,24,54.5,18.7,42.4,32,20
04M680,2005,55.8,26.9,48.3,0,0,26.9,48.3,28.8,51.7,28.8,13.5
04M680,2006,70.8,54.2,76.5,15.3,21.6,38.9,54.9,16.7,23.5,18.1,9.7
04M680,2007,51.7,36.7,71,10,19.4,26.7,51.6,15,29,28.3,18.3
04M680,2008,57.6,30.5,52.9,6.8,11.8,23.7,41.2,27.1,47.1,27.1,11.9
04M680,2009,54.8,33.3,60.9,3.6,6.5,29.8,54.3,21.4,39.1,36.9,8.3
04M680,2010,64,40,62.5,2.7,4.2,37.3,58.3,24,37.5,26.7,9.3
04M695,2005,22.4,0,0,0,0,0,0,22.4,100,43.1,27.6
04M695,2006,40.5,23,56.7,0,0,23,56.7,17.6,43.3,37.8,18.9
04M695,2007,37.7,17,45,0,0,17,45,20.8,55,43.4,9.4
04M695,2008,59.1,25,42.3,0,0,25,42.3,34.1,57.7,20.5,15.9
04M695,2009,54.4,29.8,54.8,1.8,3.2,28.1,51.6,24.6,45.2,21.1,19.3
04M695,2010,77.8,60,77.1,11.1,14.3,48.9,62.9,17.8,22.9,4.4,11.1
05M285,2006,2.1,0,0,0,0,0,0,2.1,100,75,22.9
05M285,2007,5.6,0,0,0,0,0,0,5.6,100,54.9,39.4
05M285,2008,3.9,1.3,33.3,0,0,1.3,33.3,2.6,66.7,67.5,28.6
05M285,2009,8.2,1.2,14.3,0,0,1.2,14.3,7.1,85.7,58.8,28.2
05M285,2010,13.6,7.4,54.5,0,0,7.4,54.5,6.2,45.5,61.7,22.2
05M304,2008,64.7,62.4,96.4,3.5,5.5,58.8,90.9,2.4,3.6,31.8,3.5
05M304,2009,75,72.8,97.1,2.2,2.9,70.7,94.2,2.2,2.9,15.2,7.6
05M304,2010,76,69.8,91.8,8.3,11,61.5,80.8,6.3,8.2,8.3,7.3
05M369,2010,72.6,69.4,95.6,0,0,69.4,95.6,3.2,4.4,11.3,16.1
05M469,2005,73,0,0,0,0,0,0,73,100,21.6,0
05M469,2006,76.1,13,17.1,0,0,13,17.1,63,82.9,23.9,0
05M469,2007,71.2,21.2,29.7,0,0,21.2,29.7,50,70.3,26.9,1.9
05M469,2008,62.1,29.3,47.2,3.4,5.6,25.9,41.7,32.8,52.8,32.8,5.2
05M469,2009,56,27.4,48.9,1.2,2.1,26.2,46.8,28.6,51.1,25,11.9
05M469,2010,71.8,43.6,60.7,0,0,43.6,60.7,28.2,39.3,15.4,10.3
05M499,2005,90.3,85.8,95,56,62,29.9,33.1,4.5,5,5.2,2.2
05M499,2006,78.9,64.3,81.5,25.7,32.6,38.6,48.9,14.6,18.5,11.1,3.5
05M499,2007,84.3,79.2,94,28.4,33.7,50.8,60.2,5.1,6,10.7,3.6
05M499,2008,67.8,64.9,95.7,20.2,29.8,44.7,66,2.9,4.3,26.9,5.3
05M499,2009,78.8,72.6,92.2,28.3,35.9,44.3,56.3,6.1,7.8,14.6,3.3
05M499,2010,84.9,81.5,95.9,29.7,35,51.7,60.9,3.5,4.1,10,3.5
05M670,2005,83.3,34.7,41.7,0,0,34.7,41.7,48.6,58.3,8.3,5.6
05M670,2006,81.5,31.5,38.6,0,0,31.5,38.6,50,61.4,14.8,3.7
05M670,2007,66.7,23.6,35.4,0,0,23.6,35.4,43.1,64.6,22.2,9.7
05M670,2008,73.9,42,56.9,0,0,42,56.9,31.8,43.1,17,3.4
05M670,2009,87.9,61.6,70.1,7.1,8,54.5,62.1,26.3,29.9,8.1,2
05M670,2010,71.6,61.1,85.3,1.1,1.5,60,83.8,10.5,14.7,14.7,10.5
05M685,2005,58.3,38.9,66.7,0,0,38.9,66.7,19.4,33.3,29.2,8.3
05M685,2006,50.7,37,73,0,0,37,73,13.7,27,31.5,16.4
05M685,2007,42.9,24.2,56.4,0,0,24.2,56.4,18.7,43.6,24.2,23.1
05M685,2008,47.3,31.9,67.4,0,0,31.9,67.4,15.4,32.6,35.2,15.4
05M685,2009,57,45.2,79.2,2.2,3.9,43,75.3,11.9,20.8,29.6,9.6
05M685,2010,54.5,30.6,56.1,0,0,30.6,56.1,24,43.9,16.5,18.2
05M692,2006,1.2,1.2,100,1.2,100,0,0,0,0,1.2,1.2
05M692,2007,100,100,100,82.5,82.5,17.5,17.5,0,0,0,0
05M692,2008,98.3,98.3,100,86.4,87.9,11.9,12.1,0,0,1.7,0
05M692,2009,99.1,99.1,100,94.4,95.3,4.6,4.7,0,0,0,0.9
05M692,2010,99.1,99.1,100,88.7,89.5,10.4,10.5,0,0,0.9,0
06M462,2005,68.9,2.2,3.2,0,0,2.2,3.2,66.7,96.8,17.8,10.4
06M462,2006,40.8,26.5,65,0,0,26.5,65,14.3,35,38.8,12.2
06M462,2007,69.9,41.8,59.8,4.8,6.9,37,52.9,28.1,40.2,16.4,10.3
06M462,2008,70.4,45.4,64.5,7.9,11.2,37.5,53.3,25,35.5,10.5,8.6
06M462,2009,76.3,53.3,69.8,3.3,4.3,50,65.5,23,30.2,11.8,7.2
06M462,2010,78.4,57.8,73.8,5.4,6.9,52.4,66.9,20.5,26.2,5.9,8.6
06M463,2005,66.9,40.8,61.1,0.7,1.1,40.1,60,26.1,38.9,21.8,9.2
06M463,2006,60.3,43.1,71.4,0,0,43.1,71.4,17.2,28.6,25.9,9.5
06M463,2007,60.4,35.1,58,3.7,6.2,31.3,51.9,25.4,42,23.1,14.9
06M463,2008,64.8,38.9,60,6.5,10,32.4,50,25.9,40,23.1,10.2
06M463,2009,56.8,32.4,57.1,5.4,9.5,27,47.6,23.6,41.7,29.1,8.8
06M463,2010,67.7,51.6,76.1,10.6,15.6,41,60.6,16.1,23.9,18,12.4
06M467,2005,69.8,41.4,59.3,2.5,3.5,38.9,55.8,28.4,40.7,18.5,10.5
06M467,2006,64.7,30.9,47.7,2.9,4.5,27.9,43.2,33.8,52.3,27.2,8.1
06M467,2007,70.5,44.7,63.4,0.8,1.1,43.9,62.4,25.8,36.6,12.1,15.9
06M467,2008,70.9,47.3,66.7,7.3,10.3,40,56.4,23.6,33.3,15.5,9.1
06M467,2009,74.7,54.7,73.2,11.3,15.2,43.3,58,20,26.8,21.3,1.3
06M467,2010,77.2,60.8,78.8,9.4,12.1,51.5,66.7,16.4,21.2,9.4,7
06M468,2005,53.5,30.3,56.6,2.6,4.8,27.7,51.8,23.2,43.4,29.7,14.2
06M468,2006,56.6,30.2,53.3,1.9,3.3,28.3,50,26.4,46.7,25.5,15.1
06M468,2007,55.9,24.7,44.2,2.4,4.2,22.4,40,31.2,55.8,17.1,24.1
06M468,2008,65.9,34.1,51.8,5.6,8.4,28.6,43.4,31.7,48.2,19.8,11.1
06M468,2009,66.7,41.4,62,11.7,17.6,29.6,44.4,25.3,38,16.7,9.9
06M468,2010,61.4,33.5,54.6,8.9,14.4,24.7,40.2,27.8,45.4,12.7,20.9
06M540,2005,66.4,50.8,76.5,23.5,35.3,27.4,41.2,15.6,23.5,17.6,13.7
06M540,2006,61,48.3,79.1,10.7,17.5,37.6,61.6,12.8,20.9,23.1,12.8
06M540,2007,63.1,48.6,77,12.7,20.2,35.8,56.8,14.5,23,25.2,11.2
06M540,2008,58.7,47.4,80.8,12.1,20.7,35.3,60.2,11.2,19.2,27.9,12.4
06M540,2009,86.4,86.4,100,30.7,35.5,55.7,64.5,0,0,11.4,1.3
06M540,2010,77.2,68.5,88.8,16.5,21.4,52.1,67.5,8.6,11.2,15.7,3
06M552,2005,56.4,16.7,29.5,0,0,16.7,29.5,39.7,70.5,26.9,14.1
06M552,2006,50,18.4,36.8,1.3,2.6,17.1,34.2,31.6,63.2,31.6,15.8
06M552,2007,72.5,30.3,41.8,1.8,2.5,28.4,39.2,42.2,58.2,20.2,6.4
06M552,2008,79,40.7,51.6,4.9,6.3,35.8,45.3,38.3,48.4,11.1,9.9
06M552,2009,73,39.3,53.8,11.2,15.4,28.1,38.5,33.7,46.2,16.9,10.1
06M552,2010,81.3,53.8,66.2,14.3,17.6,39.6,48.6,27.5,33.8,8.8,8.8
07X221,2008,73.2,33.8,46.2,2.8,3.8,31,42.3,39.4,53.8,12.7,9.9
07X221,2009,85.2,52.5,61.5,11.5,13.5,41,48.1,32.8,38.5,11.5,3.3
07X221,2010,90,65,72.2,7.5,8.3,57.5,63.9,25,27.8,6.3,3.8
07X321,2006,7.4,3.7,50,0,0,3.7,50,3.7,50,61.1,31.5
07X321,2007,13.8,7.7,55.6,0,0,7.7,55.6,6.2,44.4,47.7,38.5
07X321,2008,12.8,8.5,66.7,0,0,8.5,66.7,4.3,33.3,76.6,10.6
07X321,2010,17.9,8.9,50,0,0,8.9,50,8.9,50,58.9,17.9
07X379,2008,11.4,0,0,0,0,0,0,11.4,100,81.8,6.8
07X379,2009,16,1.3,8.3,0,0,1.3,8.3,14.7,91.7,66.7,16
07X379,2010,18,0,0,0,0,0,0,18,100,66,16
07X381,2009,9.4,0,0,0,0,0,0,9.4,100,81.1,7.5
07X520,2007,62,40.5,65.3,3.8,6.1,36.7,59.2,21.5,34.7,25.3,7.6
07X427,2006,54.7,0,0,0,0,0,0,54.7,100,42.2,1.6
07X427,2007,57.3,13.3,23.3,0,0,13.3,23.3,44,76.7,30.7,10.7
07X427,2008,72.1,25.6,35.5,0,0,25.6,35.5,46.5,64.5,14,12.8
07X427,2009,50,8.5,17.1,0,0,8.5,17.1,41.5,82.9,26.8,19.5
07X427,2010,67.9,55.6,81.8,0,0,55.6,81.8,12.3,18.2,8.6,19.8
07X470,2005,17,0,0,0,0,0,0,17,100,0,50.9
07X473,2006,75,19.4,25.9,0,0,19.4,25.9,55.6,74.1,16.7,2.8
07X473,2007,73.8,21.5,29.2,3.1,4.2,18.5,25,52.3,70.8,15.4,6.2
07X473,2008,76.8,30.4,39.6,0,0,30.4,39.6,46.4,60.4,17.4,5.8
07X473,2009,56.7,29.9,52.7,2.1,3.6,27.8,49.1,26.8,47.3,29.9,6.2
07X473,2010,69.6,33.3,47.9,0,0,33.3,47.9,36.2,52.1,8.7,14.5
07X500,2005,78.6,57.3,72.8,14.6,18.5,42.7,54.3,21.4,27.2,21.4,0
07X500,2006,80.7,61.4,76.1,26.1,32.4,35.2,43.7,19.3,23.9,18.2,1.1
07X500,2007,80,61.1,76.3,34.7,43.4,26.3,32.9,18.9,23.7,16.8,3.2
07X500,2008,85,68.2,80.2,44.9,52.7,23.4,27.5,16.8,19.8,12.1,2.8
07X500,2009,78,63.4,81.3,26.8,34.4,36.6,46.9,14.6,18.8,18.3,2.4
07X500,2010,95.1,88.5,93.1,41,43.1,47.5,50,6.6,6.9,3.3,1.6
07X520,2005,78.9,53.5,67.9,1.4,1.8,52.1,66.1,25.4,32.1,16.9,2.8
07X520,2006,78.8,57.6,73.1,13.6,17.3,43.9,55.8,21.2,26.9,10.6,9.1
07X520,2008,64.6,42.7,66.1,3.1,4.8,39.6,61.3,21.9,33.9,16.7,10.4
07X520,2009,60.6,49,81,1,1.6,48.1,79.4,11.5,19,21.2,9.6
07X520,2010,64,44.1,69,10.3,16.1,33.8,52.9,19.9,31,14.7,7.4
07X527,2006,0,0,,0,,0,,0,,98.1,0
07X527,2007,77.2,45.6,59.1,5.3,6.8,40.4,52.3,31.6,40.9,17.5,3.5
07X527,2008,70.7,49.5,70,9.1,12.9,40.4,57.1,21.2,30,20.2,7.1
07X527,2009,74.6,40.8,54.7,4.2,5.7,36.6,49.1,33.8,45.3,9.9,7
07X527,2010,72.5,54.9,75.7,6.9,9.5,48,66.2,17.6,24.3,2,14.7
07X547,2006,68.8,18.2,26.4,0,0,18.2,26.4,50.6,73.6,10.4,7.8
07X547,2007,60.3,8.2,13.6,0,0,8.2,13.6,52.1,86.4,12.3,8.2
07X547,2008,54.4,12.7,23.3,0,0,12.7,23.3,41.8,76.7,24.1,10.1
07X547,2009,70.8,36.1,51,1.4,2,34.7,49,34.7,49,11.1,12.5
07X547,2010,55.6,27.2,48.9,0,0,27.2,48.9,28.4,51.1,16,17.3
07X548,2005,87.1,24.3,27.9,0,0,24.3,27.9,62.9,72.1,5.7,0
07X548,2006,70.4,42,59.6,4.9,7,37,52.6,28.4,40.4,12.3,1.2
07X548,2007,81.6,44.7,54.8,9.2,11.3,35.5,43.5,36.8,45.2,15.8,1.3
07X548,2008,92.9,47.1,50.8,5.7,6.2,41.4,44.6,45.7,49.2,5.7,1.4
07X548,2009,81.9,65.3,79.7,11.1,13.6,54.2,66.1,16.7,20.3,13.9,1.4
07X548,2010,89,68.3,76.7,3.7,4.1,64.6,72.6,20.7,23.3,4.9,6.1
07X551,2007,89.1,65.6,73.7,9.4,10.5,56.3,63.2,23.4,26.3,6.3,3.1
07X551,2008,80.3,72.7,90.6,4.5,5.7,68.2,84.9,7.6,9.4,16.7,3
07X551,2009,88.4,79.7,90.2,24.6,27.9,55.1,62.3,8.7,9.8,8.7,1.4
07X551,2010,76.3,65.8,86.2,5.3,6.9,60.5,79.3,10.5,13.8,11.8,6.6
07X600,2005,39.9,17.4,43.6,0.8,2,16.6,41.6,22.5,56.4,27.3,28.5
07X600,2006,46.4,19.7,42.3,2.9,6.3,16.7,36,26.8,57.7,22.6,29.3
07X600,2007,41.9,20.9,50,16.3,38.9,4.7,11.1,20.9,50,33,23.3
