DBN,Year,Total Grads - % of cohort,Total Regents - % of cohort,Total Regents - % of grads,Advanced Regents - % of cohort,Advanced Regents - % of grads,Regents w/o Advanced - % of cohort,Regents w/o Advanced - % of grads,Local - % of cohort,Local - % of grads,Still Enrolled - % of cohort,Dropped Out - % of cohort
31R455,2009,82.3,66.8,81.1,31.4,38.1,35.4,43,15.5,18.9,9,6.5
31R455,2010,83.8,70,83.5,28.6,34.2,41.3,49.3,13.8,16.5,6.7,8.1
31R460,2005,75,53.2,70.8,22.6,30.1,30.6,40.8,21.9,29.2,12.6,8
31R460,2006,73.1,51.1,70,18.8,25.7,32.3,44.2,21.9,30,11.3,12
31R460,2007,73.4,51.1,69.6,15.6,21.2,35.5,48.4,22.3,30.4,13.3,7.9
31R460,2008,70.2,57.5,81.9,20.4,29.1,37.1,52.9,12.7,18.1,14.6,7.9
31R460,2009,69.9,51.2,73.2,19.2,27.4,32,45.8,18.7,26.8,15.7,5.9
31R460,2010,78,64.5,82.7,23.9,30.7,40.6,52,13.5,17.3,8.6,7.9
31R470,2006,17.3,3.7,21.4,0,0,3.7,21.4,13.6,78.6,69.1,12.3
31R470,2007,23.4,7.8,33.3,0,0,7.8,33.3,15.6,66.7,51.6,23.4
31R470,2008,26.9,9.6,35.7,0,0,9.6,35.7,17.3,64.3,65.4,7.7
31R470,2009,27.5,13,47.4,0,0,13,47.4,14.5,52.6,50.7,11.6
31R470,2010,36.5,15.4,42.1,0,0,15.4,42.1,21.2,57.9,42.3,21.2
31R600,2005,56.6,35.7,63,7.8,13.7,27.9,49.3,20.9,37,14.7,11.6
31R600,2006,59.4,39.8,67.1,8.3,13.9,31.6,53.2,19.5,32.9,21.8,9
31R600,2007,69.2,44.8,64.6,26.6,38.4,18.2,26.3,24.5,35.4,18.9,6.3
31R600,2008,56.8,43.2,76,11.4,20,31.8,56,13.6,24,25,12.5
31R600,2009,61,39.6,65,26.8,44,12.8,21,21.3,35,23.2,6.7
31R600,2010,57.7,44,76.2,32,55.4,12,20.8,13.7,23.8,25.7,9.7
31R605,2005,83.2,83.2,100,81.8,98.4,1.4,1.6,0,0,15.5,1.4
31R605,2006,98.4,98.4,100,97.3,98.9,1.1,1.1,0,0,0.5,1.1
31R605,2007,98.9,98.9,100,97.2,98.3,1.7,1.7,0,0,0.6,0.6
31R605,2008,100,100,100,98.4,98.4,1.6,1.6,0,0,0,0
31R605,2009,100,100,100,98.7,98.7,1.3,1.3,0,0,0,0
31R605,2010,100,100,100,95.8,95.8,4.2,4.2,0,0,0,0
32K403,2010,73.7,47.5,64.4,3,4.1,44.4,60.3,26.3,35.6,16.2,10.1
32K480,2005,23.9,4.7,19.5,0,0,4.7,19.5,19.6,81.8,44.7,26.7
32K480,2006,55,11.2,20.4,0,0,11.2,20.4,43.8,79.6,5.3,37.3
32K545,2005,73.3,8.6,11.8,8.6,11.8,0,0,64.7,88.2,25,1.7
32K545,2006,65.6,23.8,36.4,3.3,5.1,20.5,31.3,41.7,63.6,25.8,7.3
32K545,2007,68.9,38.6,56,20.5,29.7,18.2,26.4,30.3,44,21.2,9.1
32K545,2008,58.2,19.6,33.7,6.5,11.2,13.1,22.5,38.6,66.3,29.4,9.8
32K545,2009,60.7,29.3,48.4,12.7,20.9,16.7,27.5,31.3,51.6,30,7.3
32K545,2010,67.7,29.8,44,3.7,5.5,26.1,38.5,37.9,56,28,3.7
32K549,2007,65.5,21,32.1,0,0,21,32.1,44.5,67.9,21.8,10.1
32K549,2008,72.4,30.5,42.1,1,1.3,29.5,40.8,41.9,57.9,16.2,11.4
32K549,2009,64.7,34.3,53,2.9,4.5,31.4,48.5,30.4,47,17.6,16.7
32K549,2010,77.3,61.9,80,5.2,6.7,56.7,73.3,15.5,20,11.3,9.3
32K552,2007,53.7,19.4,36.2,2.8,5.2,16.7,31,34.3,63.8,33.3,12
32K552,2008,59.4,26.7,45,2,3.3,24.8,41.7,32.7,55,32.7,5.9
32K552,2009,59.4,22.6,38.1,0.9,1.6,21.7,36.5,36.8,61.9,25.5,12.3
32K552,2010,53.9,37.4,69.4,0.9,1.6,36.5,67.7,16.5,30.6,32.2,8.7
32K554,2007,91.3,52.2,57.1,0,0,52.2,57.1,39.1,42.9,8.7,0
32K554,2008,82.6,39.1,47.4,0,0,39.1,47.4,43.5,52.6,13,4.3
32K554,2009,80.4,50,62.2,8.7,10.8,41.3,51.4,30.4,37.8,19.6,0
32K554,2010,88.4,55.8,63.2,11.6,13.2,44.2,50,32.6,36.8,7,4.7
32K556,2007,66.7,10.2,15.3,0.9,1.4,9.3,13.9,56.5,84.7,22.2,7.4
32K556,2008,66.7,22.2,33.3,1.2,1.9,21,31.5,44.4,66.7,24.7,4.9
32K556,2009,63.1,27.2,43.1,1,1.5,26.2,41.5,35.9,56.9,24.3,5.8
32K556,2010,56.4,23.9,42.4,4.3,7.6,19.7,34.8,32.5,57.6,19.7,18.8
32K564,2005,6.3,0,0,0,0,0,0,6.3,100,85.5,8.2
32K564,2006,3.9,0,0,0,0,0,0,3.9,100,78.8,17.3
32K564,2007,3.1,0,0,0,0,0,0,3.1,100,72.9,24
32K564,2008,6.2,0,0,0,0,0,0,6.2,100,55.8,36.3
32K564,2009,3.6,2.1,60,0,0,2.1,60,1.4,40,59.3,35
32K564,2010,7.8,2.3,30,0,0,2.3,30,5.5,70,49.2,40.6
