DBN,Year,total_enrollment,ell_percent,sped_percent,asian_per,black_per,hispanic_per,white_per,male_per,female_per,Level 1 %,Level 2 %,Level 3 %,Level 4 %,Level 3+4 %,Total Grads - % of cohort,Still Enrolled - % of cohort,Dropped Out - % of cohort
01M332,2007,279,6.1,27.6,6.1,29.4,61.6,2.9,54.1,45.9,23.9,45.7,27.2,3.3,30.5,,,
01M332,2008,252,9.5,32.5,6.3,26.6,64.3,2.4,50.8,49.2,14.1,35.2,43,7.8,50.7,,,
01M332,2009,178,12.4,32.6,5.1,24.2,69.7,1.1,51.1,48.9,4.4,32.5,55.7,7.5,63.2,,,
01M332,2010,116,19,35.3,1.7,25.9,71.6,0.9,55.2,44.8,31.4,44,18.9,5.7,24.5,,,
01M515,2010,573,84.8,0.3,93.7,2.1,3.5,0.5,56.2,43.8,,,,,,54.4,27.5,18.1
01M332,2011,115,19.1,32.2,1.7,22.6,74.8,0,62.6,37.4,22.3,55.3,22.3,0,22.3,,,
01M345,2006,283,2.8,14.1,20.8,17.7,56.5,3.2,50.9,49.1,,,,,,,,
01M345,2007,279,2.9,21.1,15.4,17.2,63.4,2.9,48.7,51.3,5.6,21.1,55.3,18,73.3,,,
01M345,2008,292,3.8,22.9,15.1,18.5,62.3,3.4,50,50,1.9,18.5,62.3,17.4,79.6,,,
01M345,2009,256,4.7,23.4,16.4,18.4,61.7,3.1,50.8,49.2,4,16.5,64.1,15.4,79.5,,,
01M345,2010,262,6.5,28.6,15.3,18.3,63,3.1,54.6,45.4,10.2,42.6,34,13.2,47.2,,,
01M345,2011,245,5.7,25.3,13.1,22.9,61.6,2.4,55.9,44.1,14.7,37.4,36.1,11.8,47.9,,,
01M361,2005,276,6.2,19.9,10.1,16.3,33.7,37.7,53.3,46.7,,,,,,,,
01M361,2006,246,4.9,21.1,12.2,12.2,35.4,37.4,52.4,47.6,11.8,19.4,55.6,13.2,68.8,,,
01M361,2007,258,6.2,21.3,13.2,11.6,31.4,39.5,48.1,51.9,11.9,15.8,59.4,12.9,72.3,,,
01M361,2008,254,7.5,21.3,13,11.4,33.5,35,49.6,50.4,7.4,7.4,55.3,29.8,85.1,,,
01M361,2009,261,9.2,19.2,13,11.1,31.8,36.4,47.9,52.1,5.2,11.3,59.8,23.7,83.5,,,
01M361,2010,252,7.9,15.1,14.3,12.3,30.6,42.1,47.2,52.8,13.6,31.8,29.5,25,54.5,,,
01M361,2011,247,7.7,13.8,15.4,13,30,40.5,40.9,59.1,11.9,32.1,38.1,17.9,56,,,
01M363,2005,277,1.4,22.4,16.6,20.2,30.3,27.8,49.5,50.5,,,,,,,,
01M363,2006,266,2.3,25.9,15,22.6,28.6,31.6,52.3,47.7,7.1,24.8,55.3,12.8,68.1,,,
01M363,2007,274,1.5,28.1,16.4,21.9,28.1,31.8,54.4,45.6,4.8,17.1,61.9,16.2,78.1,,,
01M363,2008,298,2.3,26.5,15.1,22.1,25.5,33.2,54,46,7.6,13.6,61.9,16.9,78.8,,,
01M363,2009,310,1,27.4,13.2,18.7,26.5,34.8,53.9,46.1,6.3,7,69.5,17.2,86.7,,,
01M363,2010,321,2.2,21.8,14,16.5,28,39.6,53,47,4.6,39.2,40,16.2,56.2,,,
01M363,2011,315,2.9,21.9,13,16.8,28.6,40.6,49.2,50.8,1.5,32.8,47.8,17.9,65.7,,,
01M364,2005,306,3.3,16.7,9.8,17,39.5,33.3,57.2,42.8,,,,,,,,
01M364,2006,314,5.7,18.8,12.4,13.7,40.1,33.1,56.4,43.6,7.4,24,57,11.6,68.6,,,
01M364,2007,331,4.2,20.8,13.3,12.4,39.3,33.5,57.4,42.6,5.9,16.8,64.7,12.6,77.3,,,
01M364,2008,341,2.6,22.3,14.1,13.5,37.5,33.1,56.6,43.4,2.3,14.3,57.9,25.6,83.5,,,
01M364,2009,342,3.5,19.6,12.9,12.9,36,34.2,55.8,44.2,2.2,9.4,66.7,21.7,88.4,,,
01M364,2010,338,3.6,18.3,13.9,11.5,34.3,37.3,51.8,48.2,7.7,39.9,33.6,18.9,52.4,,,
01M364,2011,336,3.6,15.8,6,9.5,35.1,37.2,51.8,48.2,5.9,30.1,43.4,20.6,64,,,
01M378,2008,78,10.3,23.1,9,30.8,55.1,5.1,47.4,52.6,,,,,,,,
01M378,2009,163,10.4,25.8,9.2,17.2,66.3,6.1,45.4,54.6,9.1,24.2,59.1,7.6,66.7,,,
01M378,2010,266,13.2,25.9,9.4,21.1,64.3,4.5,46.2,53.8,7,37.8,34.3,21,55.2,,,
01M378,2011,271,11.4,25.5,7.7,18.1,69.4,3.7,50.2,49.8,4,35.4,38.6,22,60.5,,,
01M448,2005,478,7.7,15.7,25.1,15.1,45.4,4.4,51.7,48.3,,,,,,71.9,15.6,9.4
01M448,2006,533,6.8,15.6,24.2,17.4,47.3,4.1,48.4,51.6,,,,,,63.5,30.8,1.9
01M448,2007,588,7.1,19,22.3,19.6,47.3,4.4,51,49,,,,,,77,10.3,12.6
01M448,2008,586,6.7,21.7,19.3,23.5,47.8,4.3,52.4,47.6,,,,,,67,29.5,3.6
01M448,2009,532,5.3,23.1,18,27.1,46.4,4.7,53.8,46.2,,,,,,52.9,33.9,9.1
01M448,2010,488,11.1,22.7,22.5,26.2,47.5,3.7,56.4,43.6,,,,,,48.4,31.5,16.1
01M448,2011,394,21.1,21.8,29.2,22.6,45.9,2.3,57.4,42.6,,,,,,,,
01M450,2005,501,6,24.8,6.4,27.5,59.7,5.6,48.7,51.3,,,,,,67.2,11.5,19.7
01M450,2006,562,5,25.1,4.8,28.6,60,5.3,52.7,47.3,11.1,54.4,33.9,0.6,34.4,62.5,25,9.7
01M450,2007,554,6.3,24.5,5.6,26.9,60.5,5.2,52,48,10.6,44.7,41.7,3,44.7,62,25.3,12.7
01M450,2008,546,4.9,26.7,6.2,26.6,59.7,6,52.2,47.8,3.9,27.5,61.8,6.9,68.6,72.5,16.3,11.3
01M450,2009,559,6.6,28.8,7.5,27,57.4,5.5,53.5,46.5,1.1,10.5,72.9,15.5,88.4,71.8,12.9,10.6
01M450,2010,599,7,27.7,8,25.4,56.6,9.7,53.3,46.7,3.2,36.4,38.5,21.9,60.4,78.9,15.6,5.6
01M450,2011,598,5,26.4,9.7,23.9,55.4,10.4,54.7,45.3,5.6,28.9,43.3,22.2,65.6,,,
01M458,2010,213,1.9,8.9,1.4,27.7,63.8,3.8,45.1,54.9,,,,,,,,
01M458,2011,224,4,8.9,2.2,34.4,59.4,3.6,43.3,56.7,,,,,,,,
01M509,2005,558,14,24.4,16.5,13.6,66.5,2.3,53.4,46.6,,,,,,49.3,27.5,14.5
01M509,2006,619,11.6,23.3,13.2,18.9,66.2,1.6,49.6,50.4,,,,,,40,32.7,20
01M509,2007,522,15.5,21.1,11.7,17.2,69.2,1.9,51.3,48.7,,,,,,44.3,28.6,25.7
01M509,2008,441,12.9,18.4,11.8,17.7,68.7,1.8,52.2,47.8,,,,,,44.6,41.5,12.3
01M509,2009,352,12.5,21.3,11.6,18.5,67.9,2,50.6,49.4,,,,,,55.7,22.7,15.9
01M509,2010,370,13.5,21.1,10.5,24.3,63.2,1.6,49.2,50.8,,,,,,59.5,26.2,6
01M509,2011,367,11.2,25.9,9.3,31.6,56.9,1.6,46.3,53.7,,,,,,,,
01M515,2005,550,67.8,0.7,92.2,3.5,3.3,0.9,52.9,47.1,,,,,,53,27.1,18.1
01M515,2006,510,71.6,0.8,93.1,3.5,2.9,0.4,54.7,45.3,,,,,,44.8,39,16.3
01M515,2007,524,73.3,0.6,90.8,4,5,0.2,53.8,46.2,,,,,,42,39,19
01M515,2008,514,87.5,0.6,93.2,3.3,3.1,0.4,52.9,47.1,,,,,,48.5,39,12.5
01M515,2009,551,83.8,0.7,90.9,4.4,4.4,0.4,57,43,,,,,,45.5,41.6,13
02M298,2005,208,1.9,2.9,38.5,23.6,23.1,5.3,51.9,48.1,,,,,,,,
01M515,2011,562,80.6,1.2,84.7,5.2,8.9,0.9,53.7,46.3,,,,,,,,
01M539,2005,755,0.1,4.9,17.5,8.1,17.5,55.1,43.7,56.3,,,,,,,,
01M539,2006,879,0,4.6,20.7,7.3,15,56.8,44.7,55.3,0,0,29.7,70.3,100,,,
01M539,2007,1063,0.5,4,22.4,9.7,15.3,51.8,46.2,53.8,0,0.5,26.1,73.4,99.5,100,0,0
01M539,2008,1302,0.2,3.8,21.8,11.2,16.6,49.4,48,52,0,0.2,17.8,81.9,99.8,96.7,0,3.3
01M539,2009,1480,0.5,3.2,25.2,11.6,15.8,44.6,47.6,52.4,0,0.4,13.1,86.5,99.6,95.9,4.1,0
01M539,2010,1583,0.4,2.8,26,12.1,15.2,45.8,48.4,51.6,0.2,2.1,16.3,81.5,97.8,100,0,0
01M539,2011,1613,0.2,2.7,27.8,11.7,14.2,44.9,49.2,50.8,0,1.3,14.6,84,98.7,,,
01M650,2005,213,7,6.1,3.3,33.3,58.7,4.2,48.8,51.2,,,,,,31.4,54.7,12.8
01M650,2006,211,4.7,4.3,5.2,36,55,3.8,47.4,52.6,,,,,,23.9,67.4,8.7
01M650,2007,214,7.5,3.3,7.9,32.7,56.5,2.8,40.7,59.3,,,,,,29,66.7,4.3
